Test number::label,Number of iterations::number,Disagreement::number
1,4,0.067
2,4,0.1
3,18,0.117
4,0,0
5,3,0.084
6,5,0.06
7,2,0.022
8,9,0.074
9,11,0.03
10,2,0.212
11,18,0.07
12,3,0.01
13,13,0.029
14,8,0.085
15,6,0.038
16,9,0.149
17,4,0.088
18,6,0.082
19,10,0.134
20,7,0.056
21,27,0.017
22,10,0.033
23,13,0.166
24,9,0.034
25,7,0.057
26,4,0.247
27,5,0.116
28,0,0
29,2,0.19
30,11,0.07
31,6,0.196
32,100,0.086
33,6,0.114
34,1,0.063
35,3,0.142
36,3,0.063
37,2,0.139
38,1,0.05
39,95,0.044
40,14,0.103
41,3,0.027
42,11,0.08
43,4,0.113
44,2,0.083
45,9,0.041
46,9,0.169
47,0,0
48,6,0.228
49,2,0.33
50,7,0.043
51,4,0.124
52,5,0.172
53,1,0.087
54,5,0.082
55,7,0.112
56,3,0.094
57,3,0.377
58,3,0.152
59,11,0.102
60,0,0
61,9,0.156
62,13,0.191
63,22,0.058
64,2,0.074
65,2,0.309
66,12,0.209
67,5,0.101
68,15,0.079
69,12,0.099
70,2,0.186
71,9,0.031
72,1,0.18
73,5,0.055
74,3,0.072
75,4,0.036
76,5,0.059
77,5,0.127
78,7,0.048
79,10,0.084
80,5,0.049
81,13,0.05
82,13,0.009
83,11,0.075
84,5,0.03
85,5,0.067
86,13,0.032
87,3,0.086
88,5,0.083
89,15,0.145
90,0,0
91,18,0.03
92,11,0.11
93,6,0.245
94,10,0.116
95,9,0.083
96,21,0.073
97,10,0.005
98,2,0.171
99,33,0.032
100,5,0.286
101,7,0.003
102,5,0.098
103,13,0.055
104,7,0.04
105,5,0.02
106,39,0.055
107,6,0.056
108,2,0.138
109,5,0.075
110,100,0.047
111,4,0.063
112,3,0.18
113,12,0.073
114,9,0.084
115,4,0.142
116,11,0.11
117,13,0.067
118,5,0.266
119,2,0.128
120,7,0.159
121,3,0.059
122,2,0.181
123,51,0.176
124,3,0.199
125,4,0.13
126,4,0.127
127,3,0.152
128,47,0.179
129,7,0.036
130,5,0.232
131,5,0.117
132,10,0.064
133,17,0.109
134,3,0.226
135,5,0.241
136,5,0.078
137,5,0.013
138,2,0.089
139,15,0.001
140,11,0.085
141,10,0.191
142,18,0.07
143,1,0.151
144,9,0.093
145,13,0.133
146,8,0.153
147,5,0.037
148,9,0.157
149,2,0.218
150,4,0.133
151,7,0.051
152,3,0.077
153,2,0.116
154,7,0.084
155,1,0.065
156,13,0.036
157,2,0.181
158,9,0.142
159,9,0.13
160,53,0.042
161,3,0.168
162,2,0.222
163,3,0.196
164,6,0.09
165,2,0.073
166,5,0.066
167,3,0.203
168,2,0.019
169,9,0.053
170,11,0.063
171,3,0.218
172,9,0.105
173,2,0.047
174,2,0.041
175,2,0.052
176,23,0.049
177,9,0.122
178,4,0.1
179,7,0.04
180,3,0.138
181,1,0.409
182,20,0.049
183,7,0.087
184,11,0.011
185,14,0.019
186,4,0.191
187,9,0.071
188,2,0.206
189,9,0.035
190,5,0.069
191,0,0
192,2,0.109
193,25,0.024
194,25,0.06
195,2,0.133
196,15,0.005
197,0,0
198,3,0.08
199,0,0
200,4,0.012
201,31,0.045
202,2,0.141
203,15,0.042
204,4,0.182
205,14,0.152
206,4,0.176
207,10,0.009
208,3,0.141
209,29,0.008
210,1,0.202
211,4,0.316
212,4,0.094
213,2,0.304
214,5,0.031
215,12,0.159
216,5,0.084
217,1,0.129
218,5,0.068
219,2,0.242
220,3,0.188
221,2,0.176
222,5,0.139
223,17,0.028
224,3,0.255
225,5,0.069
226,1,0.051
227,1,0.077
228,57,0.07
229,1,0.195
230,4,0.045
231,0,0
232,4,0.243
233,4,0.081
234,6,0.211
235,5,0.196
236,10,0.218
237,0,0
238,2,0.317
239,13,0.031
240,19,0.023
241,9,0.164
242,7,0.253
243,5,0.221
244,2,0.246
245,5,0.051
246,3,0.177
247,5,0.158
248,7,0.144
249,13,0.042
250,2,0.055
251,3,0.195
252,2,0.125
253,4,0.026
254,5,0.038
255,7,0.055
256,9,0.001
257,2,0.162
258,9,0.114
259,1,0.104
260,27,0.083
261,29,0.104
262,3,0.113
263,3,0.042
264,12,0.112
265,7,0.088
266,2,0.048
267,3,0.091
268,11,0.062
269,27,0.008
270,8,0.115
271,1,0.247
272,6,0.118
273,26,0.122
